therapist_name,specialty,total_visits,revenue,avg_outcome_score
Amanda Lopez,Ortho Rehab,26,3899.81,70.42
Megan Garner,Pediatric,25,3897.77,74.72
Jason Brown,Sports Rehab,22,3891.06,67.5
Jacqueline Dennis,Ortho Rehab,24,3889.5,68.92
Debbie Smith,Ortho Rehab,22,3883.77,69.41
Kimberly Martinez,Ortho Rehab,21,3855.34,79.52
Ralph Campbell,Ortho Rehab,20,3823.12,67.15
Jacqueline Chung,Sports Rehab,25,3822.39,64.88
Andrew Stevenson,Ortho Rehab,23,3814.27,67.91
Devin Morales,Sports Rehab,24,3807.88,75.96
Dr. Jessica Knight,Pediatric,22,3793.61,69.41
Christopher Pierce,Sports Rehab,23,3791.25,75.09
Cynthia Brown,Sports Rehab,25,3773.11,72.4
Candice Daniel,Pediatric,23,3765.12,74.78
Scott Shaw,Ortho Rehab,21,3760.0,70.62
Pamela Lawson,Neuro Rehab,22,3752.6,71.41
Elizabeth Johnson,Neuro Rehab,22,3745.53,69.73
Cindy Johnson,Pediatric,23,3729.34,74.35
Rachel Evans,Ortho Rehab,25,3706.46,72.88
Chad Dawson,Sports Rehab,21,3697.06,67.38
James Gomez,Pediatric,20,3684.75,72.8
Sarah Garcia,Sports Rehab,22,3681.35,71.5
Kimberly Blackwell,Pediatric,25,3674.93,65.76
Carolyn Boyd,Pediatric,23,3671.1,65.65
James Villarreal,Neuro Rehab,20,3666.96,70.3
Cory Mcdonald,Sports Rehab,20,3652.27,70.45
Nathan Davis,Pediatric,22,3651.03,68.95
Joshua Fernandez,Pediatric,23,3635.53,70.52
Kimberly Savage,Sports Rehab,23,3633.44,67.78
Mark Terry,Sports Rehab,24,3629.91,69.42
James Simpson,Neuro Rehab,22,3607.41,78.41
Christopher Jones,Neuro Rehab,21,3586.88,69.67
Steven Parker,Pediatric,22,3579.24,81.14
Patrick Montgomery,Pediatric,22,3566.15,70.09
Jesse Haley,Neuro Rehab,22,3564.31,70.59
Patricia Medina,Pediatric,21,3549.48,71.9
Sharon Lee,Pediatric,20,3538.72,75.1
Carolyn Horne,Ortho Rehab,24,3531.65,72.71
Martha Brown,Pediatric,21,3528.2,69.95
Brooke Turner,Pediatric,20,3487.4,71.25
Timothy Gill,Pediatric,24,3462.12,69.04
Justin Williams,Neuro Rehab,22,3459.77,70.0
Diane Yu,Ortho Rehab,23,3456.01,69.65
Mason Parrish,Pediatric,24,3440.17,69.08
Christopher Ramos,Ortho Rehab,22,3423.49,68.5
Deborah Bryant,Pediatric,22,3415.13,67.86
Connie Castillo,Ortho Rehab,20,3379.54,72.3
Timothy Roberts,Neuro Rehab,19,3348.41,70.74
Mary Fleming,Sports Rehab,21,3326.21,64.67
Darrell Kaufman,Sports Rehab,20,3289.29,67.2
Brian Higgins,Pediatric,21,3287.82,69.38
Diane Thomas,Ortho Rehab,23,3287.57,67.91
Dana Vargas,Neuro Rehab,22,3286.52,71.64
Joseph Stevenson,Neuro Rehab,19,3264.65,67.53
John Mendez,Ortho Rehab,20,3262.04,72.8
Terri Thomas,Neuro Rehab,19,3251.81,67.79
Joseph Young,Pediatric,24,3251.13,67.5
Dr. Steven Bailey,Pediatric,19,3181.94,71.32
Denise Kelley,Ortho Rehab,19,3180.9,62.95
Joyce Lawson DVM,Neuro Rehab,18,3093.28,71.22
Stacey Ayers,Neuro Rehab,18,3050.28,65.78
Donna Martin,Neuro Rehab,18,3004.67,63.06
David Vazquez,Neuro Rehab,18,2972.7,69.67
Stephanie Wong,Pediatric,19,2969.82,69.74
Tonya Guzman,Ortho Rehab,18,2958.72,71.5
Shirley Barnes,Sports Rehab,16,2950.94,70.06
Willie Garcia,Pediatric,15,2904.64,76.73
Jennifer Perez,Sports Rehab,19,2902.02,67.84
Stephanie Torres,Neuro Rehab,17,2872.98,69.12
Sandra Alexander,Neuro Rehab,17,2844.53,68.0
Zoe Turner,Ortho Rehab,19,2819.48,73.21
Joshua Hansen,Sports Rehab,20,2816.9,64.75
Lindsay Martin,Sports Rehab,16,2811.96,63.31
Matthew Jackson,Ortho Rehab,16,2764.17,64.13
Mary Garcia,Pediatric,17,2725.98,72.71
Brandon Smith,Pediatric,17,2634.41,63.94
Ruth Conrad,Neuro Rehab,18,2628.42,67.17
Deborah Russell,Sports Rehab,14,2586.32,66.43
Christina Neal,Ortho Rehab,14,2579.46,64.29
Katie Morrison,Neuro Rehab,15,2526.85,73.87
Allison Graham,Sports Rehab,15,2415.59,64.2
Christopher Kennedy,Neuro Rehab,13,2190.11,66.69
